Jugadores,Min,Puntos,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,REB,AST,FP,TOV,ROB,TAP
"Sienra, J.",33:44,7,8,2,5,2,3,0,4,3,1,4,5,5,4,6,4,0
"Villar, M.",0:17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Acevedo, M.",12:09,2,1,1,1,1,0,0,2,0,0,3,3,0,0,3,0,0
"Acevedo, M.",10:48,10,3,3,0,0,3,3,2,1,0,2,2,0,0,0,0,1
"Sagardoy, M.",28:03,9,6,3,6,3,0,0,5,3,4,6,10,2,1,2,1,3
"Gregorio, J.",28:05,3,8,1,4,0,4,1,0,0,0,3,3,5,2,2,2,0
"Perez, B.",26:27,10,7,4,2,2,5,2,0,0,0,2,2,2,2,1,2,0
"Corazza, V.",3:42,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"Fernandez, M.",5:15,0,3,0,1,0,2,0,0,0,0,1,1,0,1,0,1,0
"Botta, G.",34:48,25,16,9,5,5,11,4,7,3,1,12,13,2,3,1,3,0
"Fissolo, P.",5:05,0,4,0,3,0,1,0,0,0,2,1,3,0,1,1,2,0
"Ibarra, J.",11:37,2,5,1,5,1,0,0,0,0,2,2,4,0,1,2,1,0
